Timestamp, Position (X, Y, Z), Rotation (X, Y, Z)
2025-02-13 21:16:16.024, 2.01, 3.44, 4.39, 0.00, 49.92, 0.00
2025-02-13 21:16:17.027, 6.71, 3.44, 5.67, 0.00, 100.25, 0.00
2025-02-13 21:16:18.032, 10.69, 3.44, 2.86, 0.00, 150.47, 0.00
2025-02-13 21:16:19.035, 11.08, 3.44, -1.98, 0.00, 200.65, 0.00
2025-02-13 21:16:20.040, 7.60, 3.44, -5.38, 0.00, 250.89, 0.00
2025-02-13 21:16:21.042, 2.77, 3.44, -4.89, 0.00, 300.98, 0.00
2025-02-13 21:16:22.042, 0.05, 3.44, -0.88, 0.00, 351.04, 0.00
2025-02-13 21:16:23.045, 1.35, 3.44, 3.74, 0.00, 40.58, 0.00
2025-02-13 21:16:24.048, 5.83, 3.44, 5.75, 0.00, 91.36, 0.00
2025-02-13 21:16:25.051, 10.18, 3.44, 3.61, 0.00, 141.49, 0.00
2025-02-13 21:16:26.054, 11.32, 3.44, -1.11, 0.00, 191.62, 0.00
2025-02-13 21:16:27.057, 8.44, 3.44, -5.01, 0.00, 241.71, 0.00
2025-02-13 21:16:28.059, 3.59, 3.44, -5.30, 0.00, 291.90, 0.00
2025-02-13 21:16:29.061, 0.27, 3.44, -1.76, 0.00, 341.97, 0.00
2025-02-13 21:16:30.062, 0.84, 3.44, 3.05, 0.00, 32.01, 0.00
2025-02-13 21:16:31.063, 4.91, 3.44, 5.70, 0.00, 82.11, 0.00
2025-02-13 21:16:32.066, 9.56, 3.44, 4.27, 0.00, 132.30, 0.00
2025-02-13 21:16:33.069, 11.43, 3.44, -0.21, 0.00, 182.43, 0.00
2025-02-13 21:16:34.069, 9.21, 3.44, -4.51, 0.00, 232.48, 0.00
2025-02-13 21:16:35.070, 4.48, 3.44, -5.57, 0.00, 282.50, 0.00
2025-02-13 21:16:36.071, 0.63, 3.44, -2.62, 0.00, 332.58, 0.00
2025-02-13 21:16:37.074, 0.42, 3.44, 2.23, 0.00, 22.71, 0.00
2025-02-13 21:16:38.075, 4.00, 3.44, 5.49, 0.00, 72.76, 0.00
2025-02-13 21:16:39.075, 8.80, 3.44, 4.85, 0.00, 122.77, 0.00
2025-02-13 21:16:40.076, 11.39, 3.44, 0.75, 0.00, 172.81, 0.00
2025-02-13 21:16:41.078, 9.91, 3.44, -3.87, 0.00, 222.92, 0.00
2025-02-13 21:16:42.080, 5.42, 3.44, -5.70, 0.00, 272.97, 0.00
2025-02-13 21:16:43.081, 1.14, 3.44, -3.43, 0.00, 323.05, 0.00
2025-02-13 21:16:44.081, 0.13, 3.44, 1.31, 0.00, 13.07, 0.00
2025-02-13 21:16:45.083, 3.11, 3.44, 5.13, 0.00, 63.12, 0.00
2025-02-13 21:16:46.092, 7.95, 3.44, 5.30, 0.00, 113.09, 0.00
2025-02-13 21:16:47.094, 11.21, 3.44, 1.64, 0.00, 163.68, 0.00
2025-02-13 21:16:48.098, 10.48, 3.44, -3.16, 0.00, 213.82, 0.00
2025-02-13 21:16:49.099, 6.33, 3.44, -5.67, 0.00, 263.90, 0.00
2025-02-13 21:16:50.101, 1.73, 3.44, -4.10, 0.00, 314.06, 0.00
2025-02-13 21:16:51.103, 0.00, 3.44, 0.42, 0.00, 4.10, 0.00
2025-02-13 21:16:52.103, 2.34, 3.44, 4.66, 0.00, 54.10, 0.00
2025-02-13 21:16:53.105, 7.11, 3.44, 5.58, 0.00, 104.26, 0.00
2025-02-13 21:16:54.106, 10.87, 3.44, 2.51, 0.00, 154.31, 0.00
2025-02-13 21:16:55.107, 10.94, 3.44, -2.33, 0.00, 204.34, 0.00
2025-02-13 21:16:56.108, 7.26, 3.44, -5.49, 0.00, 254.39, 0.00
2025-02-13 21:16:57.110, 2.47, 3.44, -4.70, 0.00, 304.51, 0.00
2025-02-13 21:16:58.113, 0.01, 3.44, -0.52, 0.00, 354.62, 0.00
2025-02-13 21:16:59.113, 1.63, 3.44, 4.04, 0.00, 44.63, 0.00
2025-02-13 21:17:00.114, 6.17, 3.44, 5.73, 0.00, 94.68, 0.00
2025-02-13 21:17:01.116, 10.39, 3.44, 3.34, 0.00, 144.77, 0.00
2025-02-13 21:17:02.116, 11.25, 3.44, -1.43, 0.00, 194.82, 0.00
2025-02-13 21:17:03.117, 8.15, 3.44, -5.16, 0.00, 244.87, 0.00
2025-02-13 21:17:04.119, 3.31, 3.44, -5.18, 0.00, 294.92, 0.00
2025-02-13 21:17:05.122, 0.18, 3.44, -1.46, 0.00, 345.07, 0.00
2025-02-13 21:17:06.122, 1.02, 3.44, 3.31, 0.00, 35.08, 0.00
2025-02-13 21:17:07.124, 5.22, 3.44, 5.73, 0.00, 85.20, 0.00
2025-02-13 21:17:08.124, 9.77, 3.44, 4.07, 0.00, 135.19, 0.00
2025-02-13 21:17:09.127, 11.42, 3.44, -0.50, 0.00, 185.32, 0.00
2025-02-13 21:17:10.128, 8.98, 3.44, -4.68, 0.00, 235.34, 0.00
2025-02-13 21:17:11.128, 4.20, 3.44, -5.50, 0.00, 285.43, 0.00
2025-02-13 21:17:12.132, 0.50, 3.44, -2.35, 0.00, 335.56, 0.00
2025-02-13 21:17:13.131, 0.54, 3.44, 2.49, 0.00, 25.57, 0.00
2025-02-13 21:17:14.132, 4.27, 3.44, 5.57, 0.00, 75.57, 0.00
2025-02-13 21:17:15.135, 9.04, 3.44, 4.69, 0.00, 125.67, 0.00
2025-02-13 21:17:16.136, 11.42, 3.44, 0.46, 0.00, 175.74, 0.00
2025-02-13 21:17:17.136, 9.71, 3.44, -4.08, 0.00, 225.80, 0.00
2025-02-13 21:17:18.137, 5.14, 3.44, -5.68, 0.00, 275.85, 0.00
2025-02-13 21:17:19.142, 0.99, 3.44, -3.22, 0.00, 325.66, 0.00
2025-02-13 21:17:20.142, 0.20, 3.44, 1.61, 0.00, 16.11, 0.00
2025-02-13 21:17:21.145, 3.39, 3.44, 5.27, 0.00, 66.25, 0.00
2025-02-13 21:17:22.149, 8.25, 3.44, 5.16, 0.00, 116.39, 0.00
2025-02-13 21:17:23.149, 11.28, 3.44, 1.37, 0.00, 166.48, 0.00
2025-02-13 21:17:24.152, 10.32, 3.44, -3.38, 0.00, 216.56, 0.00
2025-02-13 21:17:25.154, 6.05, 3.44, -5.69, 0.00, 266.68, 0.00
2025-02-13 21:17:26.156, 1.54, 3.44, -3.91, 0.00, 316.78, 0.00
2025-02-13 21:17:27.159, 0.02, 3.44, 0.70, 0.00, 6.90, 0.00
2025-02-13 21:17:28.161, 2.58, 3.44, 4.83, 0.00, 57.01, 0.00
2025-02-13 21:17:29.162, 7.39, 3.44, 5.50, 0.00, 107.11, 0.00
2025-02-13 21:17:30.163, 10.99, 3.44, 2.26, 0.00, 157.14, 0.00
2025-02-13 21:17:31.166, 10.81, 3.44, -2.59, 0.00, 207.28, 0.00
2025-02-13 21:17:32.166, 6.98, 3.44, -5.56, 0.00, 257.32, 0.00
2025-02-13 21:17:33.168, 2.24, 3.44, -4.53, 0.00, 307.40, 0.00
2025-02-13 21:17:34.170, -0.01, 3.44, -0.23, 0.00, 357.53, 0.00
2025-02-13 21:17:35.171, 1.84, 3.44, 4.24, 0.00, 47.55, 0.00
2025-02-13 21:17:36.172, 6.46, 3.44, 5.70, 0.00, 97.62, 0.00
2025-02-13 21:17:37.173, 10.54, 3.44, 3.10, 0.00, 147.64, 0.00
2025-02-13 21:17:38.175, 11.17, 3.44, -1.71, 0.00, 197.74, 0.00
2025-02-13 21:17:39.177, 7.88, 3.44, -5.28, 0.00, 247.86, 0.00
2025-02-13 21:17:40.177, 3.04, 3.44, -5.05, 0.00, 297.84, 0.00
2025-02-13 21:17:41.178, 0.11, 3.44, -1.19, 0.00, 347.87, 0.00
2025-02-13 21:17:42.179, 1.18, 3.44, 3.54, 0.00, 37.94, 0.00
2025-02-13 21:17:43.181, 5.50, 3.44, 5.75, 0.00, 88.07, 0.00
2025-02-13 21:17:44.183, 9.97, 3.44, 3.86, 0.00, 138.16, 0.00
2025-02-13 21:17:45.185, 11.38, 3.44, -0.78, 0.00, 188.22, 0.00
2025-02-13 21:17:46.185, 8.73, 3.44, -4.84, 0.00, 238.26, 0.00
2025-02-13 21:17:47.187, 3.91, 3.44, -5.41, 0.00, 288.33, 0.00
2025-02-13 21:17:48.189, 0.38, 3.44, -2.09, 0.00, 338.45, 0.00
2025-02-13 21:17:49.190, 0.67, 3.44, 2.75, 0.00, 28.52, 0.00
2025-02-13 21:17:50.192, 4.57, 3.44, 5.64, 0.00, 78.61, 0.00
2025-02-13 21:17:51.194, 9.28, 3.44, 4.50, 0.00, 128.70, 0.00
2025-02-13 21:17:52.204, 11.43, 3.44, 0.16, 0.00, 178.80, 0.00
2025-02-13 21:17:53.206, 9.45, 3.44, -4.31, 0.00, 229.29, 0.00
2025-02-13 21:17:54.206, 4.79, 3.44, -5.63, 0.00, 279.32, 0.00
2025-02-13 21:17:55.208, 0.78, 3.44, -2.90, 0.00, 329.40, 0.00
2025-02-13 21:17:56.210, 0.30, 3.44, 1.93, 0.00, 19.47, 0.00
2025-02-13 21:17:57.212, 3.70, 3.44, 5.39, 0.00, 69.60, 0.00
2025-02-13 21:17:58.214, 8.54, 3.44, 5.01, 0.00, 119.72, 0.00
2025-02-13 21:17:59.216, 11.34, 3.44, 1.06, 0.00, 169.67, 0.00
2025-02-13 21:18:00.219, 10.11, 3.44, -3.64, 0.00, 219.96, 0.00
